id	分类模块	族	类型	英文	中文	状态
	界面文案	通用界面	ui	New Game	新游戏	ok
	界面文案	多人游戏与服务器	ui	Waiting for server...	正在等待服务器…	ok
	界面文案	通用界面	ui	Joined	加入服务器	ok
	界面文案	通用界面	ui	There are ### players connected	有 ### 位已连接的玩家	ok
	界面文案	通用界面	ui	Player Joined	玩家已加入	ok
	界面文案	通用界面	ui	### has joined the game	### 已经加入游戏	ok
	界面文案	警告与错误	ui	Player Disconnected	玩家已断开连接	ok
	界面文案	通用界面	ui	### has left the game	### 已经离开游戏	ok
	界面文案	通用界面	ui	SET ROGUE MODE SAVE	设置铁人模式存档	ok
	界面文案	多人游戏与服务器	ui	SERVER SLOWDOWN	服务器速度减慢	ok
	界面文案	通用界面	ui	### is slowing the game.	### 正在减慢游戏速度	ok
	界面文案	多人游戏与服务器	ui	Error connecting to server:	连接到服务器时出错:	ok
	界面文案	多人游戏与服务器	ui	Connecting to server...	正在连接到服务器...	ok
	界面文案	通用界面	ui	Joining game...	正在加入游戏...	ok
	界面文案	通用界面	ui	NEW GAME	新游戏	ok
	界面文案	通用界面	ui	LOAD GAME	加载游戏	ok
	界面文案	多人游戏与服务器	ui	NEW MULTIPLAYER GAME	新的多人游戏	ok
	界面文案	多人游戏与服务器	ui	LOAD MULTIPLAYER GAME	加载多人游戏	ok
	界面文案	警告与错误	ui	Invalid password	密码无效	ok
	界面文案	通用界面	ui	Incompatible game version	不兼容的游戏版本	ok
	界面文案	多人游戏与服务器	ui	server version	服务器游戏版本	ok
	界面文案	多人游戏与服务器	ui	Server is full	服务器已满	ok
	界面文案	多人游戏与服务器	ui	Server is not open to multiplayer	服务器未开启多人模式	ok
	界面文案	多人游戏与服务器	ui	You are not whitelisted on this server	你不在此服务器白名单中	ok
	界面文案	警告与错误	ui	You are missing a required DLC	缺失必要DLC	ok
	界面文案	多人游戏与服务器	ui	You are banned from this server	你被禁止进入这台服务器	ok
	界面文案	多人游戏与服务器	ui	Server already has your account connected - please retry	服务器已经连接了您的账户 - 请稍后重试	ok
	界面文案	警告与错误	ui	no errors detected	未检测到错误	ok
	界面文案	通用界面	ui	Variables	变量	ok
	界面文案	通用界面	ui	Input 1	输入1	ok
	界面文案	通用界面	ui	Input 2	输入2	ok
	界面文案	通用界面	ui	Input 3	输入3	ok
	界面文案	通用界面	ui	Input 4	输入4	ok
	界面文案	通用界面	ui	Input 5	输入5	ok
	界面文案	通用界面	ui	Input 6	输入6	ok
	界面文案	通用界面	ui	Input 7	输入7	ok
	界面文案	通用界面	ui	Input 8	输入8	ok
	界面文案	通用界面	ui	Constants	常数	ok
	界面文案	通用界面	ui	Operators	运算符	ok
	界面文案	通用界面	ui	Addition	加	ok
	界面文案	通用界面	ui	Subtraction	减	ok
	界面文案	通用界面	ui	Multiply	乘	ok
	界面文案	通用界面	ui	Divide	除	ok
	界面文案	通用界面	ui	Modulo (fmod)	取模(fmod)	ok
	界面文案	通用界面	ui	Power	幂(Power)	ok
	界面文案	通用界面	ui	Trigonometry (radians)	三角函数(弧度)	ok
	界面文案	通用界面	ui	Sine	正弦(sin)	ok
	界面文案	通用界面	ui	Cosine	余弦(cos)	ok
	界面文案	通用界面	ui	Tangent	切弦(tan)	ok
	界面文案	通用界面	ui	Arcsine	反正弦(arcsin)	ok
	界面文案	通用界面	ui	Arccosine	反余弦(arccos)	ok
	界面文案	通用界面	ui	Arctangent	反正切(arctan)	ok
	界面文案	微控制器与 Lua	ui	Atan2	Atan2	ok
	界面文案	微控制器与 Lua	ui	Max of x and y	x和y的最大值	ok
	界面文案	微控制器与 Lua	ui	Min of x and y	x和y的最小值	ok
	界面文案	微控制器与 Lua	ui	Ceil x	对x向上取整(ceil)	ok
	界面文案	微控制器与 Lua	ui	Floor x	对x向下取整(floor)	ok
	界面文案	微控制器与 Lua	ui	Round x to nearest y	将x舍入到最近的y	ok
	界面文案	通用界面	ui	Absolute value of x	x的绝对值	ok
	界面文案	通用界面	ui	Sign of x (1 if x=0)	x的符号(如果x=0，则为1)	ok
	界面文案	通用界面	ui	Square root of x	x的平方根	ok
	界面文案	通用界面	ui	Length of vector(x,y)	(x,y)矢量长度	ok
	界面文案	通用界面	ui	len(x,y) (no sqrt)	(x,y)距离(无开方)	ok
	界面文案	通用界面	ui	Linearly interpolate x to y by z	用z线性插值x到y	ok
	界面文案	微控制器与 Lua	ui	Clamp x within y and z	在y和z范围内对x值进行限定(Clamp)	ok
	界面文案	通用界面	ui	Conversions	转换	ok
	界面文案	通用界面	ui	m/s to kmph	m/s至km/h	ok
	界面文案	通用界面	ui	m/s to mph	m/s至m/h	ok
	界面文案	通用界面	ui	m/s to knots	m/s至节	ok
	界面文案	通用界面	ui	Turns to radians	转换为弧度	ok
	界面文案	通用界面	ui	Degrees to radians	角度转换为弧度	ok
	界面文案	通用界面	ui	Radians to degrees	弧度转换为角度	ok
	界面文案	通用界面	ui	True	True	ok
	界面文案	通用界面	ui	False	False	ok
	界面文案	通用界面	ui	And	与(And)	ok
	界面文案	通用界面	ui	Or	或(Or)	ok
	界面文案	通用界面	ui	Xor	异或(Xor)	ok
	界面文案	通用界面	ui	Not	非(Not)	ok
	界面文案	通用界面	ui	Click on the 'Logic' button in the top bar to enter logic connecting mode.	点击顶部栏中的“逻辑”按钮进入逻辑连接模式	ok
	界面文案	通用界面	ui	Select the 'Data' logic type to view 'On/Off' and 'Number' logic nodes.	选择“数据”逻辑类型以查看“开/关”和“数字”逻辑节点	ok
	界面文案	通用界面	ui	Select the 'Power' logic type to view 'Power' logic nodes.	选择“电源”逻辑类型以查看“电源”逻辑节点	ok
	界面文案	编辑器与建造	ui	Place a wedge in the highlighted space.\n\nYou can change a component's rotation by hovering over different adjacent surfaces in the vehicle.	在突出显示的空间中放置一个斜面。\n\n您可以通过将鼠标悬停在载具中不同的相邻表面上来更改组件的旋转	ok
	界面文案	编辑器与建造	ui	Click on the wedge block in the component list to start building with it.	单击“构件”列表中的斜面以开始构建	ok
	界面文案	编辑器与建造	ui	Place the next five wedges.\n\nMultiple wedges can be placed at once by dragging.	放置下五个楔子。\n\n可以通过拖动一次放置多个楔子	ok
	界面文案	通用界面	ui	You can also use the following keys to rotate and flip the component.\n\n[j] rotates on the x axis\n[k] rotates on the y axis\n[l] rotates on the z axis\n\n[u] flips on the x axis\n[i] flips on the y axis\n[o] flips on the z axis\n\n[p] toggles the rotation display	也可以使用下列键旋转和翻转组件。\n\n[j]在x轴上旋转\n[k]在y轴上旋转\n[l]在z轴上旋转\n\n[u]在x轴上翻转\n[i]在y轴上翻转\n[o]在z轴上翻转\n\n[p]切换旋转显示	ok
	界面文案	通用界面	ui	Click on the pyramid block in the component list to start building with it.	单击组件列表中的棱锥图块开始构建	ok
	界面文案	微控制器与 Lua	ui	First, connect the button in front of seat to the engine's 'on/off' node.\n\nThis will allow you to switch the engine on by pressing the button.\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	首先，将座椅前面的按钮连接收到引擎的“开/关”节点。\n\n这将允许您通过按按钮打开引擎。\n\n单击其中一个闪烁的逻辑节点将其选中，然后在悬停在要连接的节点上时将其拖动并释放	ok
	界面文案	微控制器与 Lua	ui	Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	接下来，将“轴2[$[action_up]/[$[action_down]]节点从座椅连接收到发动机的“throttle in”节点。\n\n这将允许您通过按[$[action_up]]和[$[action_down]]向发动机应用油门功率。\n\n单击其中一个闪烁的逻辑节点将其选中，然后在悬停在要连接的节点上时将其拖放去吧	ok
	界面文案	微控制器与 Lua	ui	Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	接下来，将座椅上的“轴1[$[action_left]/[$[action_right]]'节点连接收到一个方向舵的“旋转输入”节点。\n\n这将允许您通过按[$[action_left]]或[$[action_right]]来应用旋转力	ok
	界面文案	微控制器与 Lua	ui	Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	接下来，将座椅上的“轴1[$[action_left]/[$[action_right]]'节点连接收到第二个方向舵上的“旋转输入”节点。\n\n这将允许您通过按[$[action_left]]或[$[action_right]]应用旋转力	ok
	界面文案	载具与工坊	ui	Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle.	最后，连接发动机和螺旋桨之间的电源。\n\n这将把发动机产生的电源传递到螺旋桨上，并允许您使用油门前后移动船	ok
	界面文案	通用界面	ui	Click on the large '+' button to create a new save file.	单击“+”按钮创建一个新的保存文件	ok
